"","year_class","Block","count_totals"
"1","total_count","Caldy",852300000
"2","total_count","Mostyn",133650000
"3","total_count","Mostyn Deep",101700000
"4","total_count","No 3 Buoy",424800000
"5","total_count","Salisbury",8775000
"6","total_count","Salisbury Middle",102600000
"7","total_count","Talacre",21825000
"8","total_count","Thurstaston",80100000
"9","total_count","West Kirby",709875000
"10","Y0Count","Caldy",0
"11","Y0Count","Mostyn",0
"12","Y0Count","Mostyn Deep",0
"13","Y0Count","No 3 Buoy",0
"14","Y0Count","Salisbury",0
"15","Y0Count","Salisbury Middle",0
"16","Y0Count","Talacre",0
"17","Y0Count","Thurstaston",0
"18","Y0Count","West Kirby",0
"19","Y1Count","Caldy",771750000
"20","Y1Count","Mostyn",98550000
"21","Y1Count","Mostyn Deep",4050000
"22","Y1Count","No 3 Buoy",89550000
"23","Y1Count","Salisbury",6750000
"24","Y1Count","Salisbury Middle",4950000
"25","Y1Count","Talacre",8325000
"26","Y1Count","Thurstaston",74475000
"27","Y1Count","West Kirby",644400000
"28","Y2Count","Caldy",77175000
"29","Y2Count","Mostyn",26775000
"30","Y2Count","Mostyn Deep",90225000
"31","Y2Count","No 3 Buoy",308925000
"32","Y2Count","Salisbury",2025000
"33","Y2Count","Salisbury Middle",90900000
"34","Y2Count","Talacre",10125000
"35","Y2Count","Thurstaston",5625000
"36","Y2Count","West Kirby",64575000
"37","Y3Count","Caldy",3375000
"38","Y3Count","Mostyn",8325000
"39","Y3Count","Mostyn Deep",7425000
"40","Y3Count","No 3 Buoy",26325000
"41","Y3Count","Salisbury",0
"42","Y3Count","Salisbury Middle",6750000
"43","Y3Count","Talacre",3375000
"44","Y3Count","Thurstaston",0
"45","Y3Count","West Kirby",9e+05
