"","year_class","Block","mass_totals"
"1","total_weight","Caldy",3732975
"2","total_weight","Mostyn",382950
"3","total_weight","Mostyn Deep",1855125
"4","total_weight","No 3 Buoy",2748375
"5","total_weight","Salisbury",28575
"6","total_weight","Salisbury Middle",1710225
"7","total_weight","Talacre",97650
"8","total_weight","Thurstaston",296100
"9","total_weight","West Kirby",2673000
"10","twenty","Caldy",601200
"11","twenty","Mostyn",66150
"12","twenty","Mostyn Deep",1854450
"13","twenty","No 3 Buoy",1215225
"14","twenty","Salisbury",8325
"15","twenty","Salisbury Middle",1687500
"16","twenty","Talacre",17775
"17","twenty","Thurstaston",36450
"18","twenty","West Kirby",100575
"19","Y0Weight","Caldy",0
"20","Y0Weight","Mostyn",0
"21","Y0Weight","Mostyn Deep",0
"22","Y0Weight","No 3 Buoy",0
"23","Y0Weight","Salisbury",0
"24","Y0Weight","Salisbury Middle",0
"25","Y0Weight","Talacre",0
"26","Y0Weight","Thurstaston",0
"27","Y0Weight","West Kirby",0
"28","Y1Weight","Caldy",3021525
"29","Y1Weight","Mostyn",186525
"30","Y1Weight","Mostyn Deep",39375
"31","Y1Weight","No 3 Buoy",178650
"32","Y1Weight","Salisbury",10800
"33","Y1Weight","Salisbury Middle",39150
"34","Y1Weight","Talacre",23850
"35","Y1Weight","Thurstaston",257625
"36","Y1Weight","West Kirby",2295225
"37","Y2Weight","Caldy",670950
"38","Y2Weight","Mostyn",133425
"39","Y2Weight","Mostyn Deep",1671075
"40","Y2Weight","No 3 Buoy",2301975
"41","Y2Weight","Salisbury",17775
"42","Y2Weight","Salisbury Middle",1549800
"43","Y2Weight","Talacre",46800
"44","Y2Weight","Thurstaston",38475
"45","Y2Weight","West Kirby",364950
"46","Y3Weight","Caldy",40500
"47","Y3Weight","Mostyn",63000
"48","Y3Weight","Mostyn Deep",144675
"49","Y3Weight","No 3 Buoy",267750
"50","Y3Weight","Salisbury",0
"51","Y3Weight","Salisbury Middle",121275
"52","Y3Weight","Talacre",27000
"53","Y3Weight","Thurstaston",0
"54","Y3Weight","West Kirby",12825
